Go;0;0;0;0;0;0;0;0;0;0;go;0;0
Mediterranean Avenue;2;10;30;90;160;250;30;50;50;60;hg;1;0
Community Chest;0;0;0;0;0;0;0;0;0;0;ac;0;0
Baltic Avenue;4;20;60;180;320;450;30;50;50;60;hg;1;0
Income Tax;200;0;0;0;0;0;0;0;0;0;pa;0;0
Reading Railroad;25;25;50;100;200;0;100;0;0;200;F;1;0
Oriental Avenue;6;30;90;270;400;550;50;50;50;100;lb;1;0
Chance;0;0;0;0;0;0;0;0;0;0;ch;0;0
Vermont Avenue;6;30;90;270;400;550;50;50;50;100;lb;1;0
Connecticut Avenue;8;40;100;300;450;600;60;50;50;120;lb;1;0
Just In Jail;0;0;0;0;0;0;0;0;0;0;j;0;0
St Charles Place;10;50;150;450;625;750;70;100;100;140;p;1;0
Electric Company;0;4;10;0;0;0;75;0;0;150;u;1;0
States Avenue;10;50;150;450;625;750;70;100;100;140;p;1;0
Virginia Avenue;12;60;180;500;700;900;80;100;100;160;p;1;0
Pennsylvania Railroad;25;25;50;100;200;0;100;0;0;200;F;1;0
St James Place;14;70;200;550;750;950;90;100;100;180;o;1;0
Community Chest;0;0;0;0;0;0;0;0;0;0;ac;0;0
Tennessee Avenue;14;70;200;550;750;950;90;100;100;180;o;1;0
New York Avenue;16;80;220;600;800;1000;100;100;100;200;o;1;0
Free Parking;0;0;0;0;0;0;0;0;0;0;no;0;0
Kentucky Avenue;18;90;250;700;875;1050;110;150;150;220;r;1;0
Chance;0;0;0;0;0;0;0;0;0;0;ch;0;0
Indiana Avenue;18;90;250;700;875;1050;110;150;150;220;r;1;0
Illinois Avenue;20;100;300;750;925;1100;120;150;150;240;r;1;0
B&O Railroad;25;25;50;100;200;0;100;0;0;200;F;1;0
Atlantic Avenue;22;110;330;800;975;1150;130;150;150;260;a;1;0
Ventnor Avenue;22;110;330;800;975;1150;130;150;150;260;a;1;0
Waterworks;0;4;10;0;0;0;75;0;0;150;u;1;0
Marvin Gardens;24;120;360;850;1025;1200;140;150;150;280;a;1;0
Go to Jail;0;0;0;0;0;0;0;0;0;0;goj;0;0
Pacific Avenue;26;130;390;900;1100;1275;150;200;200;300;g;1;0
North Carolina Avenue;26;130;390;900;1100;1275;150;200;200;300;g;1;0
Community Chest;0;0;0;0;0;0;0;0;0;0;ac;0;0
Pennsylvania Avenue;28;150;450;1000;1200;1400;160;200;200;320;g;1;0
Short Line Railroad;25;25;50;100;200;0;100;0;0;200;F;1;0
Chance;0;0;0;0;0;0;0;0;0;0;ch;0;0
Park Place;35;175;500;1100;1300;1500;175;200;200;350;db;1;0
Luxury Tax;100;0;0;0;0;0;0;0;0;0;pa;0;0
Boardwalk;50;200;600;1400;1700;2000;200;200;200;400;db;1;0
